Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
1257,Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,1.0,0.47,мужской,1,среднее,специалист,< 50,12.0,36.0,Торговля,ООО,женат / замужем,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1258,2НДФЛ,Ремонт,0.0,0.16,мужской,1,среднее-специальное,вспомогательный персонал,>250,88.0,30.0,Производство,,,,,,,,,,,,,,,,,
1259,Форма банка (без печати работодателя),Лечение,1.0,0.15,мужской,0,среднее-специальное,вспомогательный персонал,>=100,,,,,,,,,,,,,,,,,,,,
1260,2НДФЛ,Покупка земли,1.0,0.42,мужской,1,высшее,торговый представитель,>250,14.0,28.0,Производство,,,,,,,,,,,,,,,,,
1261,Форма банка (без печати работодателя),Отпуск,1.0,0.28,мужской,0,среднее,менеджер высшего звена,< 50,103.0,45.0,Торговля,ООО,женат / замужем,0.0,0.0,1.0,0.0,0.3333333333,1.0,2.0,52.0,3.0,0.0,1.0,31.0,86.0,0.0,0.0
1262,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.22,мужской,0,высшее,вспомогательный персонал,>250,201.0,44.0,Туризм,,,,,,,,,,,,,,,,,
1263,Свободная форма с печатью работодателя,Ремонт,1.0,0.46,женский,0,второе высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
1264,Поступление зарплаты на счет,Покупка автомобиля,0.0,0.59,женский,0,высшее,менеджер среднего звена,>250,33.0,25.0,Финансы,,,,,,,,,,,,,,,,,
1265,Форма банка (без печати работодателя),Покупка бытовой техники,1.0,0.41,мужской,1,среднее-специальное,вспомогательный персонал,>=50,,,,,,,,,,,,,,,,,,,,
1266,2НДФЛ,Ремонт,1.0,0.59,женский,1,высшее,специалист,>250,24.0,27.0,Финансы,,,,,,,,,,,,,,,,,
1267,2НДФЛ,Покупка земли,0.0,0.39,мужской,1,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,>250,146.0,37.0,Другое,Иная форма,холост / не замужем,0.0,0.0,1.0,0.0,0.0,0.0,2.0,43.0,2.0,0.0,1.0,35.0,98.0,0.0,0.0
1268,Форма банка (без печати работодателя),Ремонт,1.0,0.5,женский,0,высшее,вспомогательный персонал,>100,,,,,,,,,,,,,,,,,,,,
1269,Поступление зарплаты на счет,Ремонт,0.0,0.21,женский,1,высшее,менеджер среднего звена,>250,58.0,28.0,Производство,,,,,,,,,,,,,,,,,
1270,Поступление зарплаты на счет,Ремонт,1.0,0.49,мужской,0,среднее,рабочий,>250,14.0,29.0,Производство,,,,,,,,,,,,,,,,,
1271,Форма банка (без печати работодателя),Другое,1.0,0.57,женский,0,среднее-специальное,вспомогательный персонал,>250,83.0,32.0,Торговля,ООО,женат / замужем,0.0,0.0,1.0,0.0,1.0,2.0,0.0,18.0,2.0,1.0,0.0,11.0,44.0,0.0,0.0
1272,Свободная форма с печатью работодателя,Ремонт,1.0,0.42,мужской,1,среднее-специальное,вспомогательный персонал,>100,,,,,,,,,,,,,,,,,,,,
1273,Форма банка (без печати работодателя),Ремонт,1.0,0.22,мужской,0,среднее-специальное,рабочий,>250,135.0,31.0,Производство,,,,,,,,,,,,,,,,,
1274,Поступление зарплаты на счет,Лечение,1.0,0.25,женский,0,высшее,специалист,>250,25.0,55.0,Другое,ООО,разведен / разведена,1.0,0.0106382979,0.0,0.0,0.14285714289999998,1.0,6.0,186.0,7.0,0.0,1.0,12.0,97.0,1.0,0.0
1275,Свободная форма с печатью работодателя,Ремонт,0.0,0.57,женский,0,высшее,специалист,< 50,12.0,25.0,Торговля,ООО,женат / замужем,0.0,0.0,1.0,1.0,0.6666666667,2.0,1.0,14.0,3.0,1.0,1.0,5.0,13.0,0.0,0.0
1276,Поступление зарплаты на счет,Ремонт,0.0,0.26,женский,0,высшее,менеджер среднего звена,>250,68.0,35.0,Торговля,ООО,холост / не замужем,0.0,0.0,0.0,1.0,0.4,2.0,3.0,92.0,5.0,0.0,2.0,1.0,36.0,0.0,0.0
1277,Поступление зарплаты на счет,Ремонт,1.0,0.18,мужской,0,высшее,рабочий,>250,8.0,44.0,Транспорт,,,,,,,,,,,,,,,,,
1278,Поступление зарплаты на счет,Ремонт,0.0,0.18,мужской,1,второе высшее,менеджер среднего звена,>250,7.0,42.0,Финансы,,,,,,,,,,,,,,,,,
1279,Поступление зарплаты на счет,Ремонт,0.0,0.57,мужской,0,высшее,специалист,>250,99.0,37.0,Производство,,,,,,,,,,,,,,,,,
1280,Форма банка (без печати работодателя),Ремонт,0.0,0.16,женский,0,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
1281,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.37,мужской,0,второе высшее,специалист,>250,12.0,31.0,Информационные технологии,ООО,повторный брак,1.0,0.02,0.0,0.0,1.0,1.0,0.0,49.0,1.0,0.0,0.0,57.0,57.0,1.0,0.0
1282,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.37,женский,2,высшее,специалист,>250,113.0,35.0,Транспорт,,,,,,,,,,,,,,,,,
1283,Поступление зарплаты на счет,Ремонт,1.0,0.25,женский,0,высшее,специалист,>250,26.0,34.0,Транспорт,,,,,,,,,,,,,,,,,
1284,Поступление зарплаты на счет,Ремонт,1.0,0.16,мужской,1,высшее,специалист,>250,65.0,27.0,Производство,,,,,,,,,,,,,,,,,
1285,2НДФЛ,Покупка автомобиля,0.0,0.56,мужской,1,среднее,рабочий,>250,219.0,43.0,Другое,Государственное предприятие,холост / не замужем,3.0,0.0,0.0,0.0,0.5,3.0,3.0,66.0,6.0,1.0,1.0,11.0,67.0,0.0,0.0
1286,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.18,женский,1,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
1287,Свободная форма с печатью работодателя,Ремонт,0.0,0.29,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер по продажам,>=50,,,,,,,,,,,,,,,,,,,,
1288,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.49,мужской,0,высшее,рабочий,>250,11.0,29.0,Транспорт,,,,,,,,,,,,,,,,,
1289,Поступление зарплаты на счет,Лечение,1.0,0.36,женский,2,среднее-специальное,рабочий,>250,105.0,43.0,Торговля,ЗАО,вдовец / вдова,0.0,0.0,0.0,0.0,0.2857142857,2.0,5.0,100.0,7.0,1.0,2.0,13.0,54.0,0.0,0.0
1290,Форма банка (без печати работодателя),Ремонт,1.0,0.23,мужской,0,второе высшее,менеджер высшего звена,>100,,,,,,,,,,,,,,,,,,,,
1291,2НДФЛ,Покупка автомобиля,1.0,0.46,мужской,1,высшее,рабочий,>250,12.0,36.0,Другое,ООО,женат / замужем,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1292,Поступление зарплаты на счет,Ремонт,1.0,0.23,женский,0,среднее-специальное,менеджер по продажам,>250,67.0,32.0,Торговля,ООО,холост / не замужем,0.0,0.4893617021,0.0,0.0,0.6666666667,2.0,1.0,48.0,3.0,1.0,0.0,72.0,74.0,1.0,0.0
1293,Поступление зарплаты на счет,Другое,1.0,0.1,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>250,41.0,27.0,Информационные технологии,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,35.0,35.0,0.0,0.0
1294,Поступление зарплаты на счет,Ремонт,0.0,0.55,мужской,1,высшее,менеджер среднего звена,>250,39.0,39.0,Информационные технологии,ООО,женат / замужем,2.0,0.0,1.0,0.0,1.0,3.0,0.0,92.0,3.0,2.0,0.0,17.0,66.0,0.0,0.0
1295,2НДФЛ,Ремонт,0.0,0.18,мужской,0,высшее,специалист,>250,98.0,32.0,Информационные технологии,ОАО,женат / замужем,2.0,0.0,0.0,2.0,0.5,3.0,3.0,25.0,6.0,3.0,1.0,0.0,83.0,0.0,0.0
1296,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.56,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>=100,,,,,,,,,,,,,,,,,,,,
1297,Поступление зарплаты на счет,Ремонт,0.0,0.32,мужской,0,незаконченное высшее,менеджер среднего звена,>250,50.0,27.0,Производство,,,,,,,,,,,,,,,,,
1298,Поступление зарплаты на счет,Ремонт,1.0,0.19,женский,0,высшее,специалист,>250,6.0,29.0,Производство,,,,,,,,,,,,,,,,,
1299,Форма банка (без печати работодателя),Отпуск,1.0,0.53,мужской,0,высшее,специалист,>250,334.0,56.0,Наука,,,,,,,,,,,,,,,,,
1300,Свободная форма с печатью работодателя,Ремонт,0.0,0.31,женский,0,высшее,вспомогательный персонал,>=200,,,,,,,,,,,,,,,,,,,,
1301,2НДФЛ,Покупка автомобиля,1.0,0.42,мужской,0,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
1302,Форма банка (без печати работодателя),Ремонт,1.0,0.22,мужской,0,высшее,специалист,< 50,66.0,47.0,Другое,Иная форма,женат / замужем,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,105.0,105.0,0.0,0.0
1303,2НДФЛ,Покупка мебели,1.0,0.22,мужской,2,высшее,менеджер среднего звена,>250,17.0,36.0,Другое,ОАО,женат / замужем,2.0,0.2528735632,0.0,0.0,0.25,2.0,2.0,65.0,4.0,2.0,0.0,24.0,91.0,1.0,1.0
1304,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.48,мужской,1,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,58.0,32.0,Торговля,ООО,женат / замужем,4.0,0.0151515152,0.0,2.0,0.4,6.0,9.0,130.0,15.0,4.0,0.0,1.0,53.0,1.0,0.0
1305,Поступление зарплаты на счет,Обучение,1.0,0.34,мужской,1,среднее,рабочий,>250,55.0,30.0,Производство,,,,,,,,,,,,,,,,,
1306,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.49,мужской,1,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,162.0,40.0,Торговля,ЗАО,женат / замужем,0.0,0.0,1.0,0.0,0.2,1.0,4.0,66.0,5.0,0.0,2.0,5.0,50.0,0.0,0.0
1307,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.42,женский,1,высшее,вспомогательный персонал,>250,50.0,51.0,Финансы,,,,,,,,,,,,,,,,,
1308,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.22,мужской,0,высшее,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,
1309,Поступление зарплаты на счет,Ремонт,1.0,0.45,женский,0,незаконченное высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
1310,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.54,мужской,0,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
1311,Форма банка (без печати работодателя),Ремонт,0.0,0.3,мужской,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
1312,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.5,мужской,0,высшее,торговый представитель,>=50,,,,,,,,,,,,,,,,,,,,
1313,Поступление зарплаты на счет,Другое,1.0,0.51,мужской,1,среднее-специальное,вспомогательный персонал,>250,15.0,45.0,Производство,,,,,,,,,,,,,,,,,
1314,Форма банка (без печати работодателя),Ремонт,0.0,0.16,мужской,3,ученая степень,менеджер высшего звена,>=200,,,,,,,,,,,,,,,,,,,,
1315,2НДФЛ,Ремонт,1.0,0.32,женский,0,второе высшее,менеджер среднего звена,>250,122.0,40.0,Другое,ОАО,разведен / разведена,2.0,0.0131578947,0.0,0.0,1.0,2.0,0.0,75.0,2.0,0.0,0.0,26.0,111.0,1.0,0.0
1316,2НДФЛ,Ремонт,1.0,0.49,женский,1,высшее,специалист,>250,58.0,45.0,Торговля,ЗАО,холост / не замужем,4.0,0.0918367347,0.0,1.0,0.25,2.0,6.0,89.0,8.0,0.0,0.0,4.0,49.0,1.0,0.0
1317,Форма банка (без печати работодателя),Ремонт,1.0,0.49,мужской,1,высшее,вспомогательный персонал,>250,40.0,39.0,Транспорт,,,,,,,,,,,,,,,,,
1318,2НДФЛ,Покупка земли,1.0,0.46,мужской,2,высшее,менеджер высшего звена,< 50,37.0,38.0,Торговля,ООО,разведен / разведена,0.0,0.0208333333,1.0,0.0,0.0,0.0,3.0,47.0,3.0,0.0,1.0,42.0,108.0,1.0,0.0
1319,Поступление зарплаты на счет,Ремонт,1.0,0.26,женский,0,Высшее/Второе высшее/Ученая степень,рабочий,>250,39.0,29.0,Производство,,,,,,,,,,,,,,,,,
1320,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.29,женский,0,высшее,специалист,>250,19.0,49.0,Транспорт,,,,,,,,,,,,,,,,,
1321,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.34,мужской,0,высшее,рабочий,>250,410.0,52.0,Другое,ООО,женат / замужем,0.0,0.0256410256,1.0,0.0,0.0,0.0,2.0,38.0,2.0,0.0,0.0,67.0,69.0,1.0,0.0
