Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
6435,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.49,мужской,0,среднее-специальное,торговый представитель,>250,16.0,23.0,Производство,,,,,,,,,,,,,,,,,
6436,Свободная форма с печатью работодателя,Лечение,1.0,0.46,женский,1,среднее-специальное,вспомогательный персонал,>=50,,,,,,,,,,,,,,,,,,,,
6437,Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,0.0,0.49,женский,0,высшее,специалист,>250,39.0,28.0,Производство,,,,,,,,,,,,,,,,,
6438,2НДФЛ,Покупка автомобиля,0.0,0.35,мужской,2,высшее,специалист,>250,60.0,29.0,Государственная служба,,,,,,,,,,,,,,,,,
6439,2НДФЛ,Покупка автомобиля,0.0,0.42,мужской,1,высшее,специалист,>=150,,,,,,,,,,,,,,,,,,,,
6440,Поступление зарплаты на счет,Ремонт,1.0,0.49,мужской,0,среднее-специальное,рабочий,>=150,,,,,,,,,,,,,,,,,,,,
6441,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.45,мужской,0,высшее,рабочий,>250,75.0,48.0,Производство,,,,,,,,,,,,,,,,,
6442,2НДФЛ,Покупка автомобиля,0.0,0.38,мужской,0,высшее,специалист,>250,14.0,31.0,Производство,,,,,,,,,,,,,,,,,
6443,Форма банка (без печати работодателя),Ремонт,1.0,0.57,женский,0,высшее,менеджер среднего звена,>250,85.0,26.0,Торговля,ООО,гражданский брак,1.0,0.0,1.0,0.0,0.8,4.0,1.0,42.0,5.0,2.0,0.0,13.0,49.0,0.0,0.0
6444,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.57,мужской,0,высшее,менеджер среднего звена,< 50,38.0,27.0,Торговля,ООО,холост / не замужем,0.0,0.0,1.0,1.0,0.3333333333,1.0,2.0,28.0,3.0,1.0,2.0,3.0,26.0,0.0,0.0
6445,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.39,женский,0,среднее,вспомогательный персонал,>=50,,,,,,,,,,,,,,,,,,,,
6446,2НДФЛ,Ремонт,1.0,0.49,женский,0,среднее-специальное,менеджер среднего звена,>250,26.0,29.0,Торговля,ООО,женат / замужем,4.0,0.0,0.0,0.0,0.2,1.0,4.0,44.0,5.0,0.0,2.0,10.0,20.0,0.0,0.0
6447,2НДФЛ,Ремонт,0.0,0.28,женский,1,среднее-специальное,вспомогательный персонал,>250,137.0,36.0,Производство,,,,,,,,,,,,,,,,,
6448,2НДФЛ,Покупка автомобиля,0.0,0.28,мужской,0,среднее-специальное,вспомогательный персонал,>250,43.0,31.0,Производство,,,,,,,,,,,,,,,,,
6449,Поступление зарплаты на счет,Другое,0.0,0.57,женский,0,высшее,специалист,>250,33.0,36.0,Производство,,,,,,,,,,,,,,,,,
6450,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.31,женский,0,высшее,менеджер среднего звена,< 50,117.0,48.0,Другое,ООО,холост / не замужем,0.0,0.0,1.0,0.0,0.5,3.0,3.0,123.0,6.0,1.0,1.0,24.0,81.0,0.0,0.0
6451,Поступление зарплаты на счет,Ремонт,1.0,0.48,женский,0,среднее-специальное,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
6452,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.16,женский,1,высшее,менеджер среднего звена,>100,,,,,,,,,,,,,,,,,,,,
6453,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.49,мужской,1,среднее,специалист,>250,405.0,51.0,Производство,,,,,,,,,,,,,,,,,
6454,2НДФЛ,Покупка автомобиля,1.0,0.59,мужской,0,высшее,вспомогательный персонал,>250,7.0,42.0,Строительство,,,,,,,,,,,,,,,,,
6455,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.49,мужской,0,среднее,вспомогательный персонал,>250,80.0,27.0,Производство,,,,,,,,,,,,,,,,,
6456,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.24,мужской,0,среднее-специальное,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,
6457,Форма банка (без печати работодателя),Ремонт,0.0,0.49,женский,2,высшее,специалист,>250,116.0,38.0,Государственная служба,,,,,,,,,,,,,,,,,
6458,Форма банка (без печати работодателя),Ремонт,0.0,0.46,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>250,14.0,32.0,Торговля,ООО,женат / замужем,0.0,0.0,1.0,0.0,0.42857142859999997,3.0,4.0,186.0,7.0,2.0,2.0,14.0,75.0,0.0,0.0
6459,Поступление зарплаты на счет,Ремонт,1.0,0.49,мужской,1,среднее-специальное,рабочий,>250,61.0,35.0,Производство,,,,,,,,,,,,,,,,,
6460,Форма банка (без печати работодателя),Ремонт,1.0,0.47,мужской,1,высшее,менеджер среднего звена,>100,,,,,,,,,,,,,,,,,,,,
6461,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.43,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>250,38.0,25.0,Производство,,,,,,,,,,,,,,,,,
6462,2НДФЛ,Покупка автомобиля,1.0,0.29,мужской,0,высшее,менеджер среднего звена,>250,337.0,48.0,Наука,,,,,,,,,,,,,,,,,
6463,Форма банка (без печати работодателя),Ремонт,0.0,0.18,женский,1,высшее,вспомогательный персонал,>250,51.0,28.0,Производство,,,,,,,,,,,,,,,,,
6464,Форма банка (без печати работодателя),Ремонт,1.0,0.16,женский,1,высшее,специалист,>250,22.0,34.0,Производство,,,,,,,,,,,,,,,,,
6465,2НДФЛ,Покупка земли,1.0,0.59,мужской,1,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
6466,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.45,женский,1,высшее,торговый представитель,< 50,27.0,31.0,Производство,,,,,,,,,,,,,,,,,
6467,Форма банка (без печати работодателя),Обучение,1.0,0.31,женский,0,среднее-специальное,вспомогательный персонал,< 50,6.0,49.0,Туризм,,,,,,,,,,,,,,,,,
6468,Поступление зарплаты на счет,Ремонт,1.0,0.56,мужской,1,высшее,рабочий,>250,100.0,30.0,Производство,,,,,,,,,,,,,,,,,
6469,Форма банка (без печати работодателя),Отпуск,0.0,0.59,женский,0,высшее,специалист,>250,90.0,53.0,Производство,,,,,,,,,,,,,,,,,
6470,Форма банка (без печати работодателя),Ремонт,0.0,0.13,мужской,3,высшее,менеджер среднего звена,>250,7.0,36.0,Торговля,Иная форма,женат / замужем,1.0,0.014285714299999999,1.0,0.0,0.1666666667,2.0,10.0,138.0,12.0,2.0,3.0,21.0,82.0,1.0,0.0
6471,Поступление зарплаты на счет,Ремонт,0.0,0.54,женский,1,высшее,специалист,>250,90.0,27.0,Торговля,ООО,гражданский брак,0.0,0.11111111109999999,0.0,0.0,0.5,1.0,1.0,24.0,2.0,0.0,1.0,13.0,19.0,1.0,0.0
6472,Поступление зарплаты на счет,Покупка земли,1.0,0.27,мужской,1,среднее-специальное,специалист,>=150,,,,,,,,,,,,,,,,,,,,
6473,Свободная форма с печатью работодателя,Ремонт,1.0,0.32,женский,0,второе высшее,менеджер среднего звена,>250,20.0,49.0,Торговля,ООО,гражданский брак,3.0,0.0789473684,0.0,1.0,0.1818181818,2.0,9.0,245.0,11.0,1.0,1.0,2.0,106.0,1.0,0.0
6474,2НДФЛ,Другое,1.0,0.35,мужской,1,среднее-специальное,вспомогательный персонал,>250,127.0,45.0,Производство,,,,,,,,,,,,,,,,,
6475,2НДФЛ,Ремонт,0.0,0.16,женский,0,высшее,менеджер среднего звена,< 50,18.0,25.0,Юридические услуги,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,1.0,30.0,30.0,0.0,0.0
6476,2НДФЛ,Покупка автомобиля,1.0,0.48,мужской,0,высшее,вспомогательный персонал,>250,29.0,32.0,Производство,,,,,,,,,,,,,,,,,
6477,2НДФЛ,Покупка автомобиля,0.0,0.3,женский,1,высшее,вспомогательный персонал,>=200,,,,,,,,,,,,,,,,,,,,
6478,Свободная форма с печатью работодателя,Ремонт,0.0,0.33,мужской,2,высшее,специалист,>250,23.0,30.0,Производство,,,,,,,,,,,,,,,,,
6479,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.42,женский,1,высшее,специалист,>250,72.0,28.0,Информационные технологии,ОАО,женат / замужем,1.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,3.0,0.0,2.0,35.0,61.0,0.0,0.0
6480,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.34,женский,0,высшее,менеджер среднего звена,>250,25.0,36.0,Торговля,ООО,женат / замужем,1.0,0.014285714299999999,0.0,1.0,0.2,1.0,4.0,138.0,5.0,0.0,1.0,3.0,79.0,1.0,0.0
6481,Форма банка (без печати работодателя),Ремонт,1.0,0.24,мужской,0,среднее-специальное,рабочий,>=100,,,,,,,,,,,,,,,,,,,,
6482,2НДФЛ,Ремонт,0.0,0.44,женский,1,среднее-специальное,вспомогательный персонал,>250,12.0,43.0,Производство,,,,,,,,,,,,,,,,,
6483,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.59,женский,0,среднее-специальное,рабочий,>250,76.0,53.0,Производство,,,,,,,,,,,,,,,,,
6484,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.55,мужской,0,среднее,рабочий,>250,165.0,53.0,Производство,,,,,,,,,,,,,,,,,
6485,2НДФЛ,Ремонт,1.0,0.38,мужской,0,высшее,менеджер среднего звена,>=200,,,,,,,,,,,,,,,,,,,,
6486,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.59,женский,2,высшее,менеджер среднего звена,>250,49.0,32.0,Производство,,,,,,,,,,,,,,,,,
6487,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.46,мужской,1,высшее,вспомогательный персонал,>250,123.0,30.0,Другое,ОАО,женат / замужем,0.0,0.00625,1.0,0.0,0.14285714289999998,2.0,12.0,159.0,14.0,0.0,4.0,3.0,106.0,1.0,0.0
6488,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.58,женский,0,среднее-специальное,вспомогательный персонал,>250,49.0,26.0,Торговля,ООО,женат / замужем,4.0,0.008695652199999999,0.0,1.0,0.1333333333,2.0,13.0,114.0,15.0,1.0,2.0,2.0,44.0,1.0,0.0
6489,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.59,мужской,1,высшее,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,
6490,2НДФЛ,Покупка автомобиля,1.0,0.45,женский,1,высшее,рабочий,>250,32.0,28.0,Строительство,,,,,,,,,,,,,,,,,
6491,Поступление зарплаты на счет,Ремонт,1.0,0.59,мужской,2,высшее,специалист,< 50,32.0,36.0,Другое,Государственное предприятие,разведен / разведена,1.0,0.0227272727,1.0,0.0,0.8,4.0,1.0,129.0,5.0,2.0,0.0,16.0,68.0,1.0,0.0
6492,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.16,мужской,1,высшее,менеджер высшего звена,>250,10.0,29.0,Торговля,ООО,женат / замужем,2.0,,,,,,,,,,,,,,
6493,Поступление зарплаты на счет,Покупка автомобиля,0.0,0.48,мужской,0,второе высшее,менеджер среднего звена,>250,29.0,29.0,Другое,ООО,женат / замужем,1.0,0.08196721309999999,0.0,0.0,0.125,1.0,7.0,56.0,8.0,0.0,1.0,3.0,100.0,1.0,0.0
6494,Свободная форма с печатью работодателя,Ремонт,1.0,0.49,женский,0,высшее,рабочий,>250,6.0,32.0,Другое,ООО,гражданский брак,4.0,0.0,0.0,1.0,0.6,3.0,2.0,77.0,5.0,0.0,0.0,0.0,85.0,0.0,0.0
6495,2НДФЛ,Ремонт,1.0,0.49,мужской,2,среднее,рабочий,>250,181.0,39.0,Другое,ОАО,женат / замужем,10.0,0.2380952381,0.0,4.0,0.5454545454999999,6.0,5.0,96.0,11.0,5.0,0.0,1.0,101.0,1.0,0.0
6496,Форма банка (без печати работодателя),Ремонт,1.0,0.34,мужской,1,высшее,менеджер высшего звена,>250,175.0,48.0,Информационные технологии,ОАО,женат / замужем,3.0,0.0089020772,0.0,0.0,0.5454545454999999,6.0,5.0,334.0,11.0,1.0,0.0,8.0,87.0,1.0,0.0
6497,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.58,мужской,5,среднее,вспомогательный персонал,>250,146.0,38.0,Производство,,,,,,,,,,,,,,,,,
6498,2НДФЛ,Ремонт,1.0,0.49,женский,0,среднее,вспомогательный персонал,>250,6.0,48.0,Наука,,,,,,,,,,,,,,,,,
6499,2НДФЛ,Лечение,0.0,0.57,женский,1,высшее,вспомогательный персонал,>250,153.0,32.0,Производство,,,,,,,,,,,,,,,,,
6500,Свободная форма с печатью работодателя,Ремонт,1.0,0.32,женский,1,высшее,менеджер среднего звена,< 50,49.0,39.0,Торговля,ООО,женат / замужем,,,,,,,,,,,,,,,
6501,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.43,женский,2,среднее-специальное,специалист,>=200,,,,,,,,,,,,,,,,,,,,
6502,2НДФЛ,Покупка автомобиля,0.0,0.28,мужской,1,высшее,специалист,>250,22.0,25.0,Торговля,ООО,женат / замужем,2.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,6.0,0.0,0.0,2.0,36.0,0.0,0.0
6503,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.32,женский,0,среднее-специальное,рабочий,>250,90.0,49.0,Производство,,,,,,,,,,,,,,,,,
6504,,Ремонт,0.0,,женский,1,незаконченное высшее,,,74.0,30.0,Финансы,,,,,,,,,,,,,,,,,
6505,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.59,мужской,1,высшее,менеджер высшего звена,>=150,,,,,,,,,,,,,,,,,,,,
6506,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.33,женский,0,среднее-специальное,вспомогательный персонал,>250,11.0,49.0,Другое,ООО,холост / не замужем,1.0,0.0,0.0,1.0,0.3333333333,1.0,2.0,9.0,3.0,1.0,0.0,4.0,17.0,0.0,0.0
6507,Форма банка (без печати работодателя),Ремонт,0.0,0.39,мужской,1,незаконченное высшее,вспомогательный персонал,>=50,,,,,,,,,,,,,,,,,,,,
6508,2НДФЛ,Ремонт,1.0,0.2,мужской,0,высшее,рабочий,>250,149.0,50.0,Транспорт,,,,,,,,,,,,,,,,,
6509,Свободная форма с печатью работодателя,Ремонт,0.0,0.43,женский,0,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
6510,2НДФЛ,Ремонт,1.0,0.48,мужской,1,среднее,вспомогательный персонал,>250,23.0,29.0,Производство,,,,,,,,,,,,,,,,,
6511,2НДФЛ,Покупка автомобиля,0.0,0.37,мужской,0,высшее,специалист,>250,6.0,28.0,Торговля,ОАО,холост / не замужем,5.0,0.015384615400000001,0.0,0.0,1.0,4.0,0.0,64.0,4.0,2.0,0.0,13.0,39.0,1.0,0.0
6512,2НДФЛ,Покупка автомобиля,0.0,0.48,мужской,3,высшее,специалист,>250,116.0,28.0,Государственная служба,,,,,,,,,,,,,,,,,
6513,2НДФЛ,Ремонт,1.0,0.56,женский,0,высшее,специалист,>250,163.0,38.0,Производство,,,,,,,,,,,,,,,,,
6514,2НДФЛ,Ремонт,1.0,0.47,женский,0,высшее,вспомогательный персонал,>250,71.0,25.0,Торговля,ЗАО,холост / не замужем,,,,,,,,,,,,,,,
6515,2НДФЛ,Ремонт,1.0,0.37,женский,0,среднее-специальное,вспомогательный персонал,>250,7.0,49.0,Туризм,,,,,,,,,,,,,,,,,
6516,2НДФЛ,Ремонт,1.0,0.39,мужской,0,среднее-специальное,вспомогательный персонал,>250,149.0,35.0,Производство,,,,,,,,,,,,,,,,,
6517,Свободная форма с печатью работодателя,Ремонт,0.0,0.38,женский,1,второе высшее,вспомогательный персонал,>250,42.0,33.0,Наука,,,,,,,,,,,,,,,,,
6518,Поступление зарплаты на счет,Ремонт,1.0,0.44,женский,0,высшее,специалист,>250,18.0,23.0,Информационные технологии,ООО,гражданский брак,4.0,0.0,0.0,1.0,0.5,1.0,1.0,3.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0
6519,2НДФЛ,Покупка автомобиля,1.0,0.41,женский,0,среднее-специальное,специалист,>250,76.0,28.0,Другое,ЗАО,женат / замужем,0.0,0.0,0.0,2.0,1.0,2.0,0.0,6.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0
6520,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.35,мужской,0,высшее,специалист,>250,35.0,44.0,Финансы,,,,,,,,,,,,,,,,,
6521,2НДФЛ,Ремонт,0.0,0.33,мужской,0,высшее,специалист,>=200,,,,,,,,,,,,,,,,,,,,
6522,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.49,женский,1,высшее,специалист,>250,8.0,51.0,Наука,,,,,,,,,,,,,,,,,
6523,Поступление зарплаты на счет,Ремонт,0.0,0.57,мужской,1,высшее,специалист,>250,23.0,38.0,Производство,,,,,,,,,,,,,,,,,
6524,2НДФЛ,Ремонт,1.0,0.49,мужской,0,высшее,специалист,>250,17.0,26.0,Наука,,,,,,,,,,,,,,,,,
6525,Форма банка (без печати работодателя),Ремонт,0.0,0.54,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,7.0,25.0,Государственная служба,,,,,,,,,,,,,,,,,
6526,2НДФЛ,Ремонт,0.0,0.53,женский,1,высшее,менеджер среднего звена,>250,131.0,37.0,Торговля,ОАО,гражданский брак,1.0,0.0754716981,0.0,1.0,0.3333333333,5.0,10.0,147.0,15.0,2.0,1.0,4.0,96.0,1.0,0.0
6527,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.32,мужской,0,высшее,специалист,>250,102.0,29.0,Другое,ЗАО,женат / замужем,2.0,0.1071428571,0.0,1.0,0.5,3.0,3.0,100.0,6.0,1.0,3.0,1.0,86.0,1.0,0.0
6528,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.59,женский,0,высшее,специалист,>250,34.0,51.0,Информационные технологии,ЗАО,холост / не замужем,0.0,0.0,0.0,0.0,0.25,2.0,6.0,91.0,8.0,1.0,0.0,24.0,86.0,0.0,0.0
6529,Поступление зарплаты на счет,Отпуск,1.0,0.35,женский,0,высшее,специалист,< 50,6.0,40.0,Торговля,ЗАО,женат / замужем,1.0,0.3375,1.0,0.0,0.25,1.0,3.0,53.0,4.0,1.0,0.0,16.0,95.0,1.0,0.0
6530,Форма банка (без печати работодателя),Ремонт,0.0,0.33,мужской,0,высшее,менеджер среднего звена,>250,25.0,39.0,Торговля,ООО,женат / замужем,1.0,0.0,1.0,0.0,0.4,4.0,6.0,101.0,10.0,2.0,1.0,7.0,79.0,0.0,0.0
6531,Поступление зарплаты на счет,Ремонт,0.0,0.49,женский,0,среднее-специальное,рабочий,>=150,,,,,,,,,,,,,,,,,,,,
6532,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.45,мужской,2,высшее,специалист,>=150,,,,,,,,,,,,,,,,,,,,
6533,Форма банка (без печати работодателя),Ремонт,1.0,0.59,мужской,1,среднее,рабочий,>=100,,,,,,,,,,,,,,,,,,,,
6534,Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,0.0,0.52,мужской,2,высшее,менеджер высшего звена,>=50,,,,,,,,,,,,,,,,,,,,
6535,2НДФЛ,Ремонт,0.0,0.21,мужской,0,высшее,менеджер среднего звена,>250,56.0,27.0,Торговля,ООО,гражданский брак,1.0,0.0,0.0,0.0,0.4,2.0,3.0,77.0,5.0,1.0,0.0,11.0,54.0,0.0,0.0
6536,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.12,мужской,0,среднее-специальное,специалист,>250,35.0,32.0,Туризм,,,,,,,,,,,,,,,,,
6537,2НДФЛ,Ремонт,0.0,0.58,женский,1,высшее,специалист,>250,14.0,46.0,Государственная служба,,,,,,,,,,,,,,,,,
6538,2НДФЛ,Ремонт,1.0,0.56,женский,1,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
6539,Свободная форма с печатью работодателя,Ремонт,1.0,0.4,женский,0,высшее,менеджер среднего звена,>250,37.0,30.0,Другое,ООО,гражданский брак,4.0,0.21052631579999997,0.0,1.0,0.5,2.0,2.0,30.0,4.0,0.0,0.0,2.0,24.0,1.0,0.0
6540,Поступление зарплаты на счет,Ремонт,0.0,0.52,женский,2,высшее,специалист,>250,15.0,31.0,Производство,,,,,,,,,,,,,,,,,
6541,2НДФЛ,Ремонт,1.0,0.49,мужской,0,незаконченное высшее,рабочий,>250,19.0,47.0,Транспорт,,,,,,,,,,,,,,,,,
6542,Поступление зарплаты на счет,Ремонт,1.0,0.22,мужской,1,высшее,торговый представитель,>250,27.0,25.0,Производство,,,,,,,,,,,,,,,,,
6543,2НДФЛ,Ремонт,1.0,0.59,мужской,0,среднее-специальное,вспомогательный персонал,>250,152.0,49.0,Другое,ООО,женат / замужем,0.0,0.1272727273,0.0,0.0,0.5,3.0,3.0,48.0,6.0,3.0,0.0,8.0,92.0,1.0,0.0
6544,Поступление зарплаты на счет,Ремонт,0.0,0.11,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,120.0,47.0,Производство,,,,,,,,,,,,,,,,,
6545,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.37,мужской,1,Высшее/Второе высшее/Ученая степень,специалист,>250,9.0,26.0,Информационные технологии,ООО,женат / замужем,0.0,0.0322580645,0.0,0.0,0.25,1.0,3.0,30.0,4.0,1.0,0.0,25.0,51.0,1.0,0.0
6546,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.59,мужской,0,высшее,менеджер среднего звена,>250,30.0,26.0,Производство,,,,,,,,,,,,,,,,,
6547,Форма банка (без печати работодателя),Ремонт,1.0,0.59,мужской,0,среднее-специальное,специалист,>250,23.0,44.0,Финансы,,,,,,,,,,,,,,,,,
6548,Поступление зарплаты на счет,Отпуск,1.0,0.06,мужской,2,высшее,менеджер по продажам,>250,6.0,38.0,Производство,,,,,,,,,,,,,,,,,
6549,Поступление зарплаты на счет,Ремонт,0.0,0.28,мужской,0,высшее,менеджер среднего звена,>250,67.0,28.0,Производство,,,,,,,,,,,,,,,,,
6550,2НДФЛ,Ремонт,0.0,0.14,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>250,51.0,26.0,Финансы,,,,,,,,,,,,,,,,,
6551,2НДФЛ,Ремонт,1.0,0.35,мужской,2,среднее-специальное,вспомогательный персонал,>250,47.0,33.0,Производство,,,,,,,,,,,,,,,,,
6552,Свободная форма с печатью работодателя,Ремонт,0.0,0.31,женский,1,незаконченное высшее,специалист,< 50,19.0,29.0,Другое,ООО,повторный брак,0.0,0.2674418605,1.0,0.0,0.6666666667,2.0,1.0,63.0,3.0,2.0,1.0,25.0,63.0,1.0,0.0
6553,Форма банка (без печати работодателя),Ремонт,0.0,0.37,мужской,0,среднее-специальное,менеджер среднего звена,>250,35.0,25.0,Транспорт,,,,,,,,,,,,,,,,,
6554,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.52,мужской,0,высшее,специалист,>250,28.0,27.0,Производство,,,,,,,,,,,,,,,,,
6555,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.43,мужской,1,высшее,менеджер высшего звена,>=150,,,,,,,,,,,,,,,,,,,,
6556,Поступление зарплаты на счет,Ремонт,1.0,0.59,женский,0,высшее,специалист,>250,8.0,28.0,Торговля,ООО,холост / не замужем,0.0,0.3636363636,0.0,0.0,0.8,4.0,1.0,49.0,5.0,2.0,0.0,12.0,24.0,1.0,0.0
6557,Свободная форма с печатью работодателя,Ремонт,1.0,0.16,женский,0,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
6558,2НДФЛ,Ремонт,1.0,0.54,женский,0,среднее-специальное,вспомогательный персонал,>250,67.0,44.0,Другое,ООО,вдовец / вдова,,,,,,,,,,,,,,,
6559,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.3,мужской,0,высшее,рабочий,>250,86.0,49.0,Производство,,,,,,,,,,,,,,,,,
6560,2НДФЛ,Ремонт,0.0,0.3,мужской,0,высшее,специалист,>250,32.0,29.0,Торговля,ООО,женат / замужем,1.0,0.2,0.0,2.0,0.25,2.0,6.0,64.0,8.0,1.0,0.0,3.0,57.0,1.0,0.0
6561,2НДФЛ,Ремонт,1.0,0.34,мужской,0,среднее,вспомогательный персонал,>250,86.0,28.0,Производство,,,,,,,,,,,,,,,,,
6562,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.59,женский,1,высшее,менеджер среднего звена,>=200,,,,,,,,,,,,,,,,,,,,
6563,Форма банка (без печати работодателя),Другое,1.0,0.56,женский,0,Высшее/Второе высшее/Ученая степень,специалист,< 50,18.0,35.0,Торговля,ООО,женат / замужем,1.0,0.15204678359999999,1.0,2.0,0.4545454545000001,5.0,6.0,145.0,11.0,2.0,3.0,4.0,82.0,1.0,0.0
6564,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.49,мужской,0,высшее,специалист,>250,7.0,25.0,Государственная служба,,,,,,,,,,,,,,,,,
6565,Поступление зарплаты на счет,Ремонт,0.0,0.43,женский,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,42.0,26.0,Информационные технологии,ООО,холост / не замужем,0.0,0.0373831776,0.0,1.0,0.2,2.0,8.0,103.0,10.0,2.0,1.0,3.0,72.0,1.0,0.0
6566,Форма банка (без печати работодателя),Ремонт,0.0,0.32,женский,0,высшее,менеджер среднего звена,< 50,135.0,51.0,Торговля,ООО,женат / замужем,0.0,0.0044642857,1.0,1.0,0.0714285714,1.0,13.0,223.0,14.0,1.0,2.0,5.0,107.0,1.0,0.0
6567,2НДФЛ,Покупка автомобиля,0.0,0.53,женский,1,незаконченное высшее,менеджер среднего звена,>250,59.0,34.0,Торговля,ЗАО,женат / замужем,1.0,0.015625,1.0,0.0,0.44444444439999997,4.0,5.0,126.0,9.0,2.0,1.0,13.0,85.0,1.0,0.0
6568,2НДФЛ,Ремонт,1.0,0.49,женский,0,среднее-специальное,вспомогательный персонал,>250,64.0,51.0,Производство,,,,,,,,,,,,,,,,,
6569,2НДФЛ,Покупка земли,1.0,0.47,мужской,0,среднее-специальное,рабочий,>250,173.0,48.0,Транспорт,,,,,,,,,,,,,,,,,
6570,Свободная форма с печатью работодателя,Покупка автомобиля,0.0,0.24,женский,1,высшее,рабочий,>250,83.0,25.0,Другое,ЗАО,женат / замужем,1.0,0.42857142859999997,0.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,0.0,14.0,14.0,1.0,0.0
6571,2НДФЛ,Покупка мебели,1.0,0.45,мужской,0,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,>250,153.0,34.0,Производство,,,,,,,,,,,,,,,,,
6572,2НДФЛ,Ремонт,1.0,0.33,женский,0,высшее,менеджер среднего звена,>250,13.0,26.0,Производство,,,,,,,,,,,,,,,,,
6573,2НДФЛ,Покупка автомобиля,1.0,0.55,мужской,0,высшее,менеджер среднего звена,< 50,358.0,57.0,Другое,ОАО,женат / замужем,0.0,0.011111111100000001,0.0,0.0,0.2857142857,3.0,4.0,89.0,7.0,2.0,0.0,18.0,85.0,1.0,0.0
6574,Форма банка (без печати работодателя),Отпуск,0.0,0.32,женский,1,Высшее/Второе высшее/Ученая степень,специалист,>250,86.0,36.0,Государственная служба,,,,,,,,,,,,,,,,,
